Delta,Theta,Alpha,Beta,Gamma,Attention
36.67777564,-6.880814823,3.60733359,-19.23545242,-8.011800386,4.00E+01
36.73993178,-6.912369332,4.273501054,-17.90722777,-11.74361846,2.70E+01
36.80146205,-6.943491445,4.934804703,-16.4803539,-15.00524299,2.70E+01
36.86233376,-6.974270605,5.592204224,-14.97558621,-17.59489758,2.00E+01
36.9225462,-7.004710516,6.244390048,-13.40246089,-19.475183,2.00E+01
36.98210174,-7.034803761,6.8904658,-11.77058142,-20.6116116,2.10E+01
37.04100906,-7.064509937,7.53112486,-10.08962362,-20.96451454,3.40E+01
37.09928807,-7.093769196,8.165314384,-8.365080008,-20.56899337,2.70E+01
37.15694993,-7.122567653,8.790497756,-6.604929475,-19.45388743,4.40E+01
37.21402314,-7.150843827,9.40330901,-4.811581416,-17.7279945,5.40E+01
37.27056285,-7.178469823,9.998146429,-2.977631186,-15.64108523,4.40E+01
37.32660944,-7.205358449,10.5705929,-1.103163451,-13.37574396,6.00E+01
37.38218104,-7.231464648,11.11987028,0.799161466,-10.98271286,6.00E+01
37.43728763,-7.256769429,11.64551308,2.712003778,-8.48805034,6.40E+01
37.49191242,-7.281332982,12.14835835,4.605990659,-5.809799006,6.30E+01
37.54604883,-7.305183104,12.62934362,6.453725826,-2.910196144,6.30E+01
37.5997341,-7.328234903,13.08618032,8.244640797,0.029617712,6.00E+01
37.65299383,-7.350432451,13.51789006,9.961259214,2.879943975,5.70E+01
37.70584477,-7.371733985,13.92539581,11.57955233,5.561171543,4.10E+01
37.75831124,-7.392080581,14.30834122,13.08233465,7.95610372,4.80E+01
37.81039567,-7.411475432,14.66653611,14.45102775,10.05480008,6.30E+01
37.86210815,-7.429898671,14.99900837,15.67416754,11.81969918,6.00E+01
37.91348196,-7.44726994,15.30216368,16.75681761,13.11094055,7.00E+01
37.96453075,-7.463557131,15.57380248,17.69854449,13.8864737,6.00E+01
38.01524685,-7.478774367,15.81462387,18.48667272,14.20746653,4.40E+01
38.06561751,-7.492946676,16.02493108,19.11386209,14.1704395,3.70E+01
38.11560921,-7.506151104,16.20564554,19.57268348,13.98391646,3.50E+01
38.1651974,-7.518438585,16.35756829,19.85752405,13.80430991,4.70E+01
38.21439434,-7.529767182,16.47876783,19.97664362,13.59422436,4.70E+01
38.26321131,-7.540095191,16.5677533,19.93707933,13.31161005,4.80E+01
38.31166463,-7.549364415,16.62388533,19.74152028,12.87003762,4.10E+01
38.35977457,-7.55750378,16.64552046,19.40172017,12.17136818,4.00E+01
38.40753589,-7.564501517,16.6313493,18.93547102,11.27274897,3.80E+01
38.45495407,-7.570315291,16.57947387,18.36568265,10.17075199,4.40E+01
38.50205391,-7.5748514,16.48634166,17.72626467,8.762360173,5.00E+01
38.54884494,-7.578054337,16.34961944,17.04474735,7.016914147,5.00E+01
38.595328,-7.579894008,16.16909567,16.33115815,4.916893062,5.00E+01
38.64149506,-7.580363087,15.94510609,15.59242327,2.486406199,4.70E+01
38.68731166,-7.57952209,15.67961359,14.82660772,-0.115438153,6.00E+01
38.73275107,-7.577412448,15.37472946,14.02874151,-2.788747465,6.30E+01
38.77781287,-7.574005893,15.03071471,13.2056302,-5.577362859,5.40E+01
38.82248701,-7.569301524,14.64911777,12.35334397,-8.494615048,4.40E+01
38.86676025,-7.563311021,14.2329092,11.45380893,-11.56860572,2.70E+01
38.91061966,-7.55603785,13.78444481,10.49906299,-14.8190705,3.50E+01
38.95403079,-7.547528458,13.30637922,9.49102869,-18.12749527,4.00E+01
38.99696243,-7.537814358,12.80094964,8.439086375,-21.39033988,4.10E+01
39.03939465,-7.526886149,12.26873042,7.372580934,-24.54482594,4.00E+01
39.08129375,-7.514768837,11.71153233,6.313652151,-27.46739597,2.70E+01
39.1226164,-7.501522978,11.13356695,5.258539257,-30.03230123,2.90E+01
39.16331408,-7.487214167,10.5389235,4.211122191,-32.07809091,3.50E+01
39.20332284,-7.471939278,9.932247002,3.179098831,-33.35339734,3.40E+01
39.24258943,-7.455776846,9.317923387,2.164898997,-33.67516281,3.40E+01
39.28108932,-7.438739183,8.697842088,1.183060018,-32.99420445,3.70E+01
39.31880333,-7.420835136,8.073917873,0.240795425,-31.29889075,3.40E+01
39.35572582,-7.402059976,7.448250239,-0.671852525,-28.67448977,4.10E+01
39.39185825,-7.382389152,6.821793573,-1.554554373,-25.22541391,5.60E+01
39.42718722,-7.361821927,6.195568952,-2.395147658,-20.95627843,5.70E+01
39.461717,-7.340325041,5.569416493,-3.181979276,-15.96056988,6.00E+01
39.49547528,-7.317814873,4.941031681,-3.89454139,-10.43490574,6.60E+01
39.52847951,-7.294232523,4.309117395,-4.518044195,-4.533609164,5.40E+01
39.56073857,-7.269549637,3.674391407,-5.059297815,1.592032367,4.70E+01
39.59225602,-7.243748645,3.037898448,-5.524962368,7.817306817,4.30E+01
39.62301311,-7.216857063,2.402248384,-5.923375905,14.12726183,3.00E+01
39.65300621,-7.188879289,1.769371251,-6.269250023,20.42307323,1.30E+01
39.68227194,-7.159741072,1.13786828,-6.570372458,26.42333478,3.70E+01
39.7108428,-7.129382858,0.507062299,-6.842460507,31.85624805,4.40E+01
39.73875301,-7.097752255,-0.123010478,-7.1150342,36.41996786,5.10E+01
39.76603789,-7.064786741,-0.752839038,-7.40804094,39.84196121,5.30E+01
39.79270142,-7.030469782,-1.381197121,-7.728547459,42.05456714,4.30E+01
39.81875038,-6.994773546,-2.007216671,-8.077868663,43.00762306,2.40E+01
39.84420164,-6.957636833,-2.631467681,-8.441082888,42.65875301,1.60E+01
39.86905468,-6.919030573,-3.253049522,-8.804891946,41.06728401,2.60E+01
39.89330308,-6.878950218,-3.869624685,-9.173507885,38.29647339,1.60E+01
39.9169272,-6.837404713,-4.478240646,-9.540789606,34.52526912,3.70E+01
39.93987923,-6.794444313,-5.074168453,-9.891061428,30.12402416,4.10E+01
39.96212813,-6.750095566,-5.653597805,-10.21546439,25.38189201,2.90E+01
39.98368135,-6.704316512,-6.215783017,-10.50362216,20.41788365,2.60E+01
40.0045534,-6.657059075,-6.760188177,-10.75185703,15.32237088,2.10E+01
40.02478196,-6.608250491,-7.287213087,-10.97419935,10.04669053,2.40E+01
40.04440182,-6.557814225,-7.797415776,-11.17514301,4.613218744,3.70E+01
40.06340461,-6.505730598,-8.288803785,-11.3391281,-0.64559472,4.00E+01
40.08179819,-6.451954537,-8.760450189,-11.45405653,-5.456432515,4.00E+01
40.09960987,-6.396404482,-9.213046345,-11.50492972,-9.602117377,3.80E+01
